test_case,expected_content,language
1,"Soziale ProjekteProjekt in HaitiNach dem schrecklichen Erdbeben von 2010 auf Haiti, wurden nicht nur die Hauptstadt Port-au-Prince, sondern auch viele Küstengebiete vollständig zerstört und rund 300.000 Menschen sind Opfer dieser Tragödie geworden. Ungefähr drei Millionen Menschen waren betroffen, viele wurden obdachlos. Darauf folgte in den letzten Jahren noch eine Reihe von katastrophalen Epidemien, Erdrutschen, Überschwemmungen, Dürren und Wirbelstürmen, die in etwa gleichen Abständen auftraten.Politische Instabilität, fehlende Arbeitsplätze, absolute Armut, Hunger und Chaos haben zu einer extrem niedrigen Lebenserwartung (40 Jahre) und einer enormen Kindersterblichkeitsrate geführt. Die Alphabetisierungsrate beträgt nur 20-25%. Eine riesige Anzahl von Strassenkindern hat das Land überschwemmt.Auf Haiti, in der Gemeinde Ouanaminthe im Nordost-Department, gibt es eine öffentliche Schule, die Strassenkindern nicht nur eine elementare und geistige Ausbildung bietet, sondern ihnen auch materiell hilft. Gerade diese Schule unterstützt Swisscows.Für den Grossteil der Schüler ist die Schule der einzige Ort, an dem sie eine warme Mahlzeit bekommen. Durch Suchanfragen auf Swisscows wird die Schule für den Kauf von Lebensmitteln, Schulmaterial und die Gehälter der fünf Lehrer finanziell unterstützt.Die Schule unterrichtet und versorgt zurzeit 150 Kinder. Um mehr bedürftige Kinder aufzunehmen und sie vor Banden und Kinderprostitution zu schützen, will Swisscows den Bau einer neuen Schule finanzieren. Damit kann der jungen Generation Hoffnung und Zukunft gegeben werden.Projekt in KolumbienMaicao, eine Stadt im nördlichen kolumbianischen Departement Guajira, hat eine viel geringere Anzahl von Strassenkindern. Doch das Armutsniveau der dortigen indigenen Bevölkerung (Wayas) macht es den Eltern unmöglich, ihre Kinder mehr als ein- bis zweimal die Woche zu ernähren. Vom Staat verlassene Familien leben in Papphäusern und wissen nicht, was sauberes Trinkwasser ist.Die Schule, die in einer der Rancherias gebaut wurde, ist zu einer Lösung für den Lebensunterhalt vieler lokaler Familien geworden. Die Kinder gehen gerne zur Schule und haben eine beeindruckende Intelligenz gezeigt.Um an sauberes Trinkwasser zu gelangen, müssen wir nur zur Küche gehen und den Wasserhahn aufdrehen. In Maicao in Kolumbien ist diese Grundversorgung Luxus.Aufgrund des verschmutzten Wassers holen sich viele Kinder Infektionskrankheiten. Swisscows will bei der Suche nach einer Wasserquelle mithelfen und so den ersten Schritt zur Grundversorgung der Kinder schaffen.Du kannst helfenSwisscows verdient durch datensichere Werbung Geld. Das bedeutet: Wenn du mit Swisscows im Internet suchst, wird dir Werbung angezeigt. Durch diese Werbeanzeigen verdienen wir Geld und können Swisscows aufbauen um weitere Projekte wie Swisscows VPN und TeleGuardzu finanzieren.Wir wollen nicht nur vor den Gefahren im Internet wie Gewalt, Pornografie und Überwachung schützen, sondern einen sichtbaren Unterschied machen und Sozialprojekte aktiv unterstützen. Deswegen wollen wir einen Teil der Werbeeinnahmen nutzen um aktiv die Gesellschaft zu verändern, und dabei brauchen wir deine Hilfe.Durch deine Suchanfragen und die dadurch erzeugten Werbeanzeigen kannst du mit uns zusammen Kindern aus Haiti eine warme Mahlzeit schenken und den vergessenen Kindern der Welt Bildung ermöglichen, damit sie ihr Land durch unser Vorbild verändern.
",Deutsch
2,"Projet de charitéProjet en HaïtiAprès le terrible tremblement de terre de 2010 en Haïti, non seulement la capitale Port-au-Prince, mais aussi de nombreuses zones côtières ont été complètement détruites et environ 300 000 personnes ont été victimes de cette tragédie. Environ trois millions de personnes ont été touchées et beaucoup se sont retrouvées sans abri. Cette évolution a été suivie, ces dernières années, d'une série d'épidémies catastrophiques, de glissements de terrain, d'inondations, de sécheresses et d'ouragans, qui se sont produits à intervalles à peu près égaux.L' instabilité politique, le manque d'emplois, la pauvreté absolue, la faim et le chaos ont entraîné une espérance de vie extrêmement faible (40 ans) et un taux de mortalité infantile énorme. Le taux d'alphabétisation n'est que de 20-25%. Un nombre considérable d'enfants des rues a envahi le pays.En Haïti, dans la commune de Ouanaminthe, dans le département du Nord-Est, il existe une école publique qui offre aux enfants des rues non seulement une éducation élémentaire et spirituelle, mais aussi une aide matérielle. C'est précisément cette école que Swisscows soutient.Pour la majorité des élèves, l' école est le seul endroit où ils reçoivent un repas chaud. Grâce aux recherches sur Swisscows, l'école est soutenue financièrement pour l'achat de nourriture, de fournitures scolaires et les salaires des cinq enseignants.Actuellement, l' école enseigne et prend en charge 150 enfants. Afin d' accueillir davantage d' enfants dans le besoin et de les protéger des gangs et de la prostitution enfantine, Swisscows veut financer la construction d'une nouvelle école. Cela donnera de l'espoir et un avenir à la jeune génération.Projet en ColombieMaicao, une ville située dans le département de Guajira, au nord de la Colombie, compte un nombre beaucoup plus faible d'enfants des rues. Mais le niveau de pauvreté de la population indigène (Wayas) ne permet pas aux parents de nourrir leurs enfants plus dune ou deux fois par semaine. Les familles abandonnées par l'État vivent dans des maisons en carton et ne savent pas ce qu'est l'eau potable.L'école, construite dans l'une des rancherias, est devenue une solution de subsistance pour de nombreuses familles locales. Les enfants aiment aller à l'école et font preuve d'une intelligence impressionnante.Pour obtenir de l'eau potable, il suffit de se rendre dans la cuisine et d'ouvrir le robinet. À Maicao, en Colombie, ce service de base est un luxe. À cause de l'eau polluée, de nombreux enfants attrapent des maladies infectieuses. Swisscows veut aider à trouver une source d'eau et ainsi créer le premier pas vers des soins de base pour les enfants.Vous pouvez aiderSwisscows gagne de l'argent grâce à des publicités sécurisées. Cela signifie que lorsque vous effectuez une recherche sur Internet avec Swisscows, vous verrez des publicités. Grâce à ces publicités, nous gagnons de l'argent et pouvons construire Swisscows pour financer d'autres projets comme Swisscows VPN et TeleGuard.Nous ne voulons pas seulement nous protéger contre les dangers de l'internet comme la violence, la pornographie et la surveillance, nous voulons faire une différence visible et soutenir activement les projets sociaux. C'est pourquoi nous voulons utiliser une partie des recettes publicitaires pour changer activement la société, et nous avons besoin de votre aide.Grâce à vos recherches et aux publicités qu'elles génèrent, vous pouvez vous joindre à nous pour donner un repas chaud aux enfants d'Haïti et offrir une éducation aux enfants oubliés du monde afin qu'ils puissent changer leur pays en suivant notre exemple.
",Français
3,"Progetto di caritàProgetto ad HaitiDopo il terribile terremoto del 2010 ad Haiti, non solo la capitale Port-au-Prince, ma anche molte zone costiere sono state completamente distrutte e circa 300.000 persone sono state vittime di questa tragedia. Circa tre milioni di persone sono state colpite e molti sono rimasti senza casa. Questo è stato seguito negli ultimi anni da una serie di epidemie catastrofiche, frane, inondazioni, siccità e uragani, che si sono verificati a intervalli approssimativamente uguali.L'instabilità politica, la mancanza di lavoro, la povertà assoluta, la fame e il caos hanno portato a una speranza di vita estremamente bassa (40 anni) e un enorme tasso di mortalità infantile. Il tasso di alfabetizzazione è solo del 20-25%. Un numero enorme di bambini di strada ha invaso il paese.Ad Haiti, nel comune di Ouanaminthe, nel dipartimento del Nord-Est, c'è una scuola pubblica che non solo offre ai bambini di strada un'educazione elementare e spirituale, ma li aiuta anche materialmente. È proprio questa scuola che Swisscows sostiene.Per la maggior parte degli studenti, la scuola è l'unico posto dove ricevono un pasto caldo. Attraverso le ricerche su Swisscows, la scuola è sostenuta finanziariamente per l'acquisto di cibo, materiale scolastico e gli stipendi dei cinque insegnanti.La scuola attualmente insegna e si prende cura di 150 bambini. Per accogliere più bambini bisognosi e proteggerli dalle bande e dalla prostituzione infantile, Swisscows vuole finanziare la costruzione di una nuova scuola. Questo darà speranza e un futuro alla giovane generazione.Progetto in ColombiaMaicao, una città nel dipartimento colombiano settentrionale di Guajira, ha un numero molto inferiore di bambini di strada. Ma il livello di povertà della popolazione indigena (Wayas) rende impossibile ai genitori nutrire i loro figli più di una o due volte alla settimana. Le famiglie abbandonate dallo stato vivono in case di cartone e non sanno cosa sia l'acqua potabile.La scuola, costruita in una delle rancherias, è diventata una soluzione di sostentamento per molte famiglie locali. I bambini vanno volentieri a scuola e hanno dimostrato un'intelligenza impressionante.Per avere acqua potabile pulita, basta andare in cucina e aprire il rubinetto. A Maicao, in Colombia, questo servizio di base è un lusso. A causa dell'acqua inquinata, molti bambini prendono malattie infettive. Swisscows vuole aiutare a trovare una fonte d'acqua e creare così il primo passo verso le cure di base per i bambini.Tu puoi aiutareSwisscows guadagna soldi attraverso la pubblicità sicura dei dati. Questo significa che quando cerchi su internet con Swisscows, vedrai delle pubblicità. Attraverso questi annunci guadagniamo denaro e possiamo costruire Swisscows per finanziare ulteriori progetti come Swisscows VPN e TeleGuard.Non vogliamo solo proteggere dai pericoli di internet come la violenza, la pornografia e la sorveglianza, vogliamo fare una differenza visibile e sostenere attivamente progetti sociali. Ecco perché vogliamo usare una parte dei ricavi pubblicitari per cambiare attivamente la società, e abbiamo bisogno del tuo aiuto.Attraverso le tue ricerche e gli annunci che generano, puoi unirti a noi per dare ai bambini di Haiti un pasto caldo e fornire istruzione ai bambini dimenticati del mondo in modo che possano cambiare il loro paese attraverso il nostro esempio.
",Italiano
4,"Proyecto benéficoProyecto en HaitíTras el terrible terremoto de 2010 en Haití, no sólo la capital, Puerto Príncipe, sino también muchas zonas costeras quedaron completamente destruidas y unas 300.000 personas fueron víctimas de esta tragedia. Unos tres millones de personas se vieron afectadas y muchas se quedaron sin hogar. En los últimos años, esto fue seguido por una serie de epidemias catastróficas, deslizamientos de tierra, inundaciones, sequías y huracanes, que se produjeron a intervalos más o menos iguales.La inestabilidad política, la falta de empleo, la pobreza absoluta, el hambre y el caos han provocado una esperanza de vida extremadamente baja (40 años) y una enorme tasa de mortalidad infantil. La tasa de alfabetización es sólo del 20-25%. Un gran número de niños de la calle ha inundado el país.En Haití, en el municipio de Ouanaminthe, en el Departamento del Nordeste, hay una escuela pública que no sólo ofrece a los niños de la calle una educación elemental y espiritual, sino que también les ayuda materialmente. Es precisamente esta escuela la que apoya Swisscows.Para la mayoría de los alumnos, la escuela es el único lugar donde reciben una comida caliente. A través de las búsquedas en Swisscows, la escuela recibe apoyo financiero para la compra de alimentos, material escolar y los salarios de los cinco profesores.En la actualidad, la escuela enseña y atiende a 150 niños. Para acoger a más niños necesitados y protegerlos de las bandas y la prostitución infantil, Swisscows quiere financiar la construcción de una nueva escuela. Esto dará esperanza y futuro a la joven generación.Proyecto en ColombiaMaicao, una ciudad del norteño departamento colombiano de la Guajira, tiene un número mucho menor de niños de la calle. Pero el nivel de pobreza de la población indígena del lugar (wayas) hace imposible que los padres puedan alimentar a sus hijos más de una o dos veces por semana. Las familias abandonadas por el Estado viven en casas de cartón y no saben lo que es el agua potable.La escuela, construida en una de las rancherías, se ha convertido en una solución de subsistencia para muchas familias locales. Los niños disfrutan yendo a la escuela y han demostrado una inteligencia impresionante.Para obtener agua potable, basta con ir a la cocina y abrir el grifo. En Maicao, Colombia, este servicio básico es un lujo. Debido al agua contaminada, muchos niños contraen enfermedades infecciosas. Swisscows quiere ayudar en la búsqueda de una fuente de agua y crear así el primer paso para la atención básica de los niños.Usted puede ayudarSwisscows gana dinero a través de la publicidad con datos seguros. Esto significa que cuando busques en Internet con Swisscows, verás anuncios. A través de estos anuncios ganamos dinero y podemos construir Swisscows para financiar otros proyectos como Swisscows VPN y TeleGuard.No sólo queremos proteger contra los peligros de Internet, como la violencia, la pornografía y la vigilancia, sino que queremos marcar una diferencia visible y apoyar activamente proyectos sociales. Por eso queremos utilizar una parte de los ingresos publicitarios para cambiar activamente la sociedad, y necesitamos tu ayuda.A través de tus búsquedas y los anuncios que generan, puedes unirte a nosotros para dar a los niños de Haití una comida caliente y proporcionar educación a los niños olvidados del mundo para que puedan cambiar su país con nuestro ejemplo.
",Español
5,"Charity ProjectProject in HaitiAfter the terrible earthquake in Haiti in 2010, not only the capital Port-au-Prince, but also many coastal areas were completely destroyed and around 300,000 people fell victim to this tragedy. About three million people were affected and many were left homeless. This has been followed by a series of catastrophic epidemics, landslides, floods, droughts and hurricanes that have occurred at roughly equal intervals in recent years.Political instability, lack of jobs, absolute poverty, hunger and chaos have resulted in extremely low life expectancy (40 years) and an enormous child mortality rate. The literacy rate is only 20-25%. A huge number of street children have flooded the country.In Haiti, in the Ouanaminthe community in the Northeast Department, there is a public school that not only offers street children an elementary and spiritual education, but also helps them materially. Swisscows supports this school in particular.For the majority of students, school is the only place where they get a hot meal. Through searches on Swisscows, the school receives financial support for the purchase of food, school supplies and the salaries of the five teachers.The school currently teaches and cares for 150 children. In order to take in more children in need and to protect them from gangs and child prostitution, Swisscows wants to finance the construction of a new school. This can give the young generation hope and a future.Project in ColombiaMaicao, a town in the northern Colombian department of Guajira, has a much lower number of street children. But the level of poverty of the indigenous population (Wayas) there makes it impossible for parents to feed their children more than once or twice a week. Families abandoned by the state live in cardboard houses and do not know what clean drinking water is.The school, which was built in one of the rancherias, has become a solution for the livelihood of many local families. The children enjoy going to school and have shown impressive intelligence.To get clean drinking water, all we have to do is go to the kitchen and turn on the tap. In Maicao, Colombia, this basic service is a luxury. Because of the polluted water, many children get infectious diseases. Swisscows wants to help with the search for a water source and thus take the first step towards providing basic supplies for children.You can helpSwisscows earns money through secure advertising. This means: If you search the Internet with Swisscows, you will be shown advertisements. We earn money through these advertisements and can build up Swisscows to finance other projects such as Swisscows VPN and TeleGuard.We not only want to protect against the dangers of the Internet such as violence, pornography and surveillance, we want to make a visible difference and actively support social projects. That's why we want to use part of the advertising income to actively change society, and we need your help with that.Through your search queries and the advertisements generated by them, you can give children from Haiti a warm meal together with us and give the forgotten children of the world an education so that they can change their country through our example.
",Nederlands
6,"Charity ProjectProject in HaitiAfter the terrible earthquake in Haiti in 2010, not only the capital Port-au-Prince, but also many coastal areas were completely destroyed and around 300,000 people fell victim to this tragedy. About three million people were affected and many were left homeless. This has been followed by a series of catastrophic epidemics, landslides, floods, droughts and hurricanes that have occurred at roughly equal intervals in recent years.Political instability, lack of jobs, absolute poverty, hunger and chaos have resulted in extremely low life expectancy (40 years) and an enormous child mortality rate. The literacy rate is only 20-25%. A huge number of street children have flooded the country.In Haiti, in the Ouanaminthe community in the Northeast Department, there is a public school that not only offers street children an elementary and spiritual education, but also helps them materially. Swisscows supports this school in particular.For the majority of students, school is the only place where they get a hot meal. Through searches on Swisscows, the school receives financial support for the purchase of food, school supplies and the salaries of the five teachers.The school currently teaches and cares for 150 children. In order to take in more children in need and to protect them from gangs and child prostitution, Swisscows wants to finance the construction of a new school. This can give the young generation hope and a future.Project in ColombiaMaicao, a town in the northern Colombian department of Guajira, has a much lower number of street children. But the level of poverty of the indigenous population (Wayas) there makes it impossible for parents to feed their children more than once or twice a week. Families abandoned by the state live in cardboard houses and do not know what clean drinking water is.The school, which was built in one of the rancherias, has become a solution for the livelihood of many local families. The children enjoy going to school and have shown impressive intelligence.To get clean drinking water, all we have to do is go to the kitchen and turn on the tap. In Maicao, Colombia, this basic service is a luxury. Because of the polluted water, many children get infectious diseases. Swisscows wants to help with the search for a water source and thus take the first step towards providing basic supplies for children.You can helpSwisscows earns money through secure advertising. This means: If you search the Internet with Swisscows, you will be shown advertisements. We earn money through these advertisements and can build up Swisscows to finance other projects such as Swisscows VPN and TeleGuard.We not only want to protect against the dangers of the Internet such as violence, pornography and surveillance, we want to make a visible difference and actively support social projects. That's why we want to use part of the advertising income to actively change society, and we need your help with that.Through your search queries and the advertisements generated by them, you can give children from Haiti a warm meal together with us and give the forgotten children of the world an education so that they can change their country through our example.
",Português
7,"Szociális projektekProjekt HaitinA 2010-es szörnyű haiti földrengés után nemcsak a főváros, Port-au-Prince, hanem számos tengerparti terület is teljesen elpusztult, és mintegy 300 000 ember vált a tragédia áldozatává. Körülbelül hárommillió embert érintett, és sokan maradtak hajléktalanok. Ezt követte az elmúlt években egy sor katasztrofális járvány, földcsuszamlás, árvíz, aszály és hurrikán, amelyek nagyjából azonos időközönként következtek be.A politikai instabilitás, a munkahelyek hiánya, az abszolút szegénység, az éhezés és a káosz rendkívül alacsony várható élettartamhoz (40 év) és hatalmas csecsemőhalandósághoz vezetett. Az írni-olvasni tudók aránya mindössze 20-25%. Rengeteg utcagyerek árasztotta el az országot.Haitin, az északkeleti megyében található Ouanaminthe településen van egy állami iskola, amely nemcsak elemi és szellemi oktatást nyújt az utcagyerekeknek, hanem anyagilag is segíti őket. A Swisscows pontosan ezt az iskolát támogatja.A diákok többsége számára az iskola az egyetlen hely, ahol meleg ételt kap. A Swisscows-on történő keresések révén az iskola anyagi támogatást kap az élelmiszerek, az iskolai felszerelések és az öt tanár fizetésének megvásárlásához.Az iskola jelenleg 150 gyermeket tanít és gondoz. Annak érdekében, hogy több rászoruló gyermeket fogadhassanak be, és megvédjék őket a bandáktól és a gyermekprostitúciótól, a Swisscows egy új iskola építését szeretné finanszírozni. Ez reményt és jövőt ad a fiatal generációnak.Projekt KolumbiábanAz észak-kolumbiai Guajira megyében található Maicao városában sokkal kevesebb az utcagyerekek száma. Az ott élő őslakosok (wayák) szegénységi szintje azonban lehetetlenné teszi, hogy a szülők hetente egy-két alkalomnál többször etessék gyermekeiket. Az állam által elhagyott családok kartonházakban élnek, és nem tudják, mi az a tiszta ivóvíz.Az egyik rancheriában épült iskola számos helyi család számára jelent megélhetési megoldást. A gyerekek szívesen járnak iskolába, és lenyűgöző intelligenciáról tettek tanúbizonyságot.Ahhoz, hogy tiszta ivóvízhez jussunk, csak annyit kell tennünk, hogy bemegyünk a konyhába, és megnyitjuk a csapot. A kolumbiai Maicaóban ez az alapvető szolgáltatás luxusnak számít. A szennyezett víz miatt sok gyermek kap el fertőző betegségeket. A Swisscows segíteni akar egy vízforrás megtalálásában, és ezzel megteremteni az első lépést a gyermekek alapellátása felé.SegíthetszA Swisscows adatbiztonságos hirdetésekkel keres pénzt. Ez azt jelenti, hogy amikor a Swisscows segítségével keres az interneten, hirdetéseket fog látni. Ezeken a hirdetéseken keresztül pénzt keresünk, és így tudjuk felépíteni a Swisscows-t, hogy további projekteket finanszírozhassunk, mint például a Swisscows VPN és a TeleGuard.Nem csak az internet veszélyei, például az erőszak, a pornográfia és a megfigyelés ellen akarunk védekezni, hanem látható változást akarunk elérni, és aktívan támogatjuk a társadalmi projekteket. Ezért szeretnénk a reklámbevételek egy részét a társadalom aktív megváltoztatására fordítani, és ehhez szükségünk van a segítségedre.A kereséseid és az általuk generált hirdetések révén csatlakozhatsz hozzánk, hogy haiti gyerekeknek meleg ételt adjunk, és hogy a világ elfeledett gyermekeinek oktatásban részesítsük őket, hogy példánk révén megváltoztathassák országukat.
",Magyar
8,"Sociālie projektiProjekts HaitiPēc briesmīgās 2010. gada zemestrīces Haiti tika pilnībā izpostīta ne tikai galvaspilsēta Portoprensa, bet arī daudzi piekrastes rajoni, un aptuveni 300 000 cilvēku kļuva par šīs traģēdijas upuriem. Tika skarti aptuveni trīs miljoni cilvēku, un daudzi palika bez pajumtes. Pēdējos gados tam sekoja virkne katastrofālu epidēmiju, zemes nogruvumu, plūdu, sausuma un viesuļvētru, kas norisinājās ar aptuveni vienādiem intervāliem.Politiskā nestabilitāte, darba vietu trūkums, pilnīga nabadzība, bads un haoss ir noveduši pie ārkārtīgi zema paredzamā dzīves ilguma (40 gadi) un liela zīdaiņu mirstības līmeņa. Lasīt un rakstītprasmes līmenis ir tikai 20-25%. Valsti ir pārpludinājis milzīgs skaits ielas bērnu.Haiti, Ziemeļaustrumu departamenta Ouanaminthe pašvaldībā, darbojas valsts skola, kas ne tikai sniedz ielas bērniem pamatizglītību un garīgo izglītību, bet arī palīdz viņiem materiāli. Swisscows atbalsta tieši šo skolu.Lielākajai daļai skolēnu skola ir vienīgā vieta, kur viņi saņem siltu maltīti. Ar Swisscows meklēšanas palīdzību skola saņem finansiālu atbalstu pārtikas iegādei, skolas piederumu iegādei un piecu skolotāju algām.Pašlaik skolā mācās un rūpējas par 150 bērniem. Lai uzņemtu vairāk trūcīgu bērnu un pasargātu viņus no bandām un bērnu prostitūcijas, Swisscows vēlas finansēt jaunas skolas būvniecību. Tas jaunajai paaudzei dos cerību un nākotni.Projekts KolumbijāMaikao, pilsētā Kolumbijas ziemeļu departamentā Guahira, ir daudz mazāks ielas bērnu skaits. Taču tur dzīvojošo pamatiedzīvotāju (Wayas) nabadzības dēļ vecākiem nav iespējams pabarot bērnus biežāk nekā vienu vai divas reizes nedēļā. Valsts pamestās ģimenes dzīvo kartona mājās un nezina, kas ir tīrs dzeramais ūdens.Skola, kas uzcelta vienā no rančeri, ir kļuvusi par iztikas avotu daudzām vietējām ģimenēm. Bērniem patīk iet uz skolu un viņi ir parādījuši iespaidīgu inteliģenci.Lai iegūtu tīru dzeramo ūdeni, atliek tikai aiziet uz virtuvi un pagriezt krānu. Maicao, Kolumbijā, šis pamatpakalpojums ir greznība. Piesārņotā ūdens dēļ daudzi bērni slimo ar infekcijas slimībām. Swisscows vēlas palīdzēt atrast ūdens avotu un tādējādi spert pirmo soli ceļā uz bērnu pamataprūpi.Jūs varat palīdzētSwisscows pelna naudu, izmantojot datu drošu reklāmu. Tas nozīmē, ka, meklējot internetā ar Swisscows, redzēsiet reklāmas. Izmantojot šīs reklāmas, mēs nopelnām naudu un varam veidot Swisscows, lai finansētu turpmākus projektus, piemēram, Swisscows VPN un TeleGuard.Mēs vēlamies ne tikai aizsargāt no tādiem interneta apdraudējumiem kā vardarbība, pornogrāfija un novērošana, bet arī vēlamies panākt redzamas pārmaiņas un aktīvi atbalstīt sociālos projektus. Tāpēc mēs vēlamies daļu no reklāmas ieņēmumiem izmantot, lai aktīvi mainītu sabiedrību, un mums ir nepieciešama jūsu palīdzība.Veicot meklēšanu un izmantojot tās radītās reklāmas, jūs varat pievienoties mums, lai Haiti bērniem dotu siltu maltīti un nodrošinātu izglītību pasaules aizmirstajiem bērniem, lai viņi ar mūsu piemēru varētu mainīt savu valsti.
",Latviešu
9,"Благотворительный проектПроект на ГаитиПосле ужасного землетрясения на Гаити в 2010 году не только столица Порт-о-Пренс, но и многие прибрежные районы были полностью разрушены, жертвами этой трагедии стали около 300 000 человек. Пострадали около трех миллионов человек, многие остались без крова. За этим последовала серия катастрофических эпидемий, оползней, наводнений, засух и ураганов, которые повторяются из года в год.Политическая нестабильность, отсутствие рабочих мест, абсолютная бедность, голод и хаос привели к чрезвычайно низкой продолжительности жизни (40 лет) и катастрофически высокому уровню детской смертности. Уровень грамотности населения всего 20-25%. Огромное количество беспризорников заполнило страну.В cеверо-восточном департаменте Гаити в общине Уанаминт есть государственная школа, которая не только предлагает беспризорным детям начальное и духовное образование, но и помогает им материально. Swisscows, в частности, поддерживает эту школу.Для большинства учеников школа - единственное место, где они получают горячее питание. Благодаря Вашим поисковым запросам на Swisscows школа получает финансовую поддержку для покупки продуктов питания, школьных принадлежностей и выплаты зарплаты пяти учителям.В настоящее время в школе обучаются и воспитываются 150 детей. Чтобы принять больше нуждающихся детей и защитить их от влияния криминального мира и детской проституции, Swisscows хочет профинансировать строительство новой школы. Это может дать молодому поколению надежду и будущее.Проект в КолумбииВ Майкао, городе в северном колумбийском департаменте Гуахира, гораздо меньше беспризорных детей. Но уровень бедности местного населения (вайя) не позволяет родителям кормить своих детей чаще, чем один или два раза в неделю. Брошенные государством семьи живут в картонных домах и не знают, что такое чистая питьевая вода.Школа, построенная на одном из ранчо, помогает выжить многим местным семьям. Дети с удовольствием ходят в школу и показывают впечатляющий интеллект.Чтобы получить чистую питьевую воду, нам достаточно пойти на кухню и открыть кран. В Майкао, Колумбия, эта базовая услуга - роскошь. Из-за загрязненной воды многие дети заболевают инфекционными заболеваниями. Swisscows хочет помочь с поиском источника воды и тем самым сделать первый шаг к обеспечению детей базовыми потребностями.Вы можете помочьSwisscows зарабатывает деньги на безопасной рекламе. Что это значит? Когда Вы осуществляете поиск при помощи поисковой системы Swisscows, Вам показываются рекламные объявления. Мы зарабатываем деньги на этих объявлениях и, таким образом, можем финансировать другие проекты Swisscows AG, например, Swisscows VPN и TeleGuard.Мы хотим не только защитить наших пользователей от опасностей Интернета, таких как насилие, порнография и сбор личных данных, но и делать что-то значимое для общества, поэтому мы активно поддерживаем социальные проекты. Именно поэтому мы хотим использовать часть дохода от рекламы для изменения общества и нам нужна помощь. Благодаря Вашим поисковым запросам генерируются рекламные объявления, часть дохода от которых мы перечисляем, чтобы накормить детей из Гаити горячими блюдами и помочь сделать образование общедоступным, чтобы в будущем эти люди смогли изменить свою страну к лучшему.
",Русский
10,"Благодійний проєктПроєкт на ГаїтіПісля жахливого землетрусу на Гаїті у 2010 році не тільки столиця Порт-о-Пренс, але і багато прибережних районів були повністю зруйновані, жертвами цієї трагедії стали близько 300 000 людей. Постраждали близько трьох мільйонів людей, багато хто залишився без даху над головою. Після цього розпочалася серія катастрофічних епідемій, зсувів, повеней, посух і ураганів, що повторюються з року в рік.Політична нестабільність, відсутність робочих місць, абсолютна бідність, голод і хаос призвели до надзвичайно низької тривалості життя (40 років) і катастрофічно високому рівню дитячої смертності. Рівень грамотності населення всього 20-25%. Величезна кількість безпритульних заполонила країну.У північно-східному департаменті Гаїті у громаді Уанамінт є державна школа, яка не тільки пропонує безпритульним дітям початкову й духовну освіту, але і допомагає їм матеріально. Swisscows, зокрема, підтримує цю школу.Для більшості учнів школа - єдине місце, де вони отримують гаряче харчування. Завдяки Вашим пошуковим запитам на Swisscows школа отримує фінансову підтримку для придбання продуктів харчування, шкільного приладдя та виплати зарплати п'яти вчителям.Зараз у школі навчаються і виховуються 150 дітей. Щоб прийняти більше дітей з бідних родин і захистити їх від впливу кримінального світу та дитячої проституції, Swisscows хоче профінансувати будівництво нової школи. Це може дати молодому поколінню надію та майбутнє.Проєкт у КолумбіїУ Майкао, місті в північному колумбійському департаменті Гуахіра, набагато менше безпритульних дітей. Але рівень бідності місцевого населення (вайя) не дозволяє батькам годувати своїх дітей частіше, ніж один або два рази на тиждень. Покинуті державою сім'ї живуть в картонних будинках і не знають, що таке чиста питна вода.Школа, побудована на одному з ранчо, допомагає вижити багатьом місцевим родинам. Діти із задоволенням ходять до школи і демонструють вражаючий інтелект.Щоб отримати чисту питну воду, нам залишається лише зайти на кухню і відкрити кран. У Майкао, Колумбія, ця базова послуга - розкіш. Через забруднення води багато дітей хворіє на інфекційні захворювання. Swisscows хоче допомогти з пошуком джерела води і тим самим зробити перший крок до забезпечення дітей базовими потребами.Ви можете допомогтиSwisscows заробляє гроші на безпечній рекламі. Що це означає? Коли Ви здійснюєте пошук за допомогою пошукової системи Swisscows, Ви бачите рекламні оголошення. Ми заробляємо гроші на цих оголошеннях і, таким чином, можемо фінансувати інші проєкти Swisscows AG, наприклад,Swisscows VPN іTeleGuard.Ми хочемо не тільки захистити наших користувачів від небезпек Інтернету, таких як насильство, порнографія та збір особистих даних, але і робити щось вагоме для суспільства, тому ми активно підтримуємо соціальні проєкти. Саме тому ми спрямовуємо частину доходу від реклами для змін у суспільстві, і нам потрібна допомога. Завдяки Вашим пошуковим запитам генеруються рекламні оголошення, частину доходу від яких ми перераховуємо, щоб нагодувати дітей з Гаїті гарячими стравами та допомогти зробити освіту загальнодоступною, щоб в майбутньому ці люди змогли змінити свою країну на краще.
",Українська